epoch,accuracy,loss
0,0.6089693903923035,1.327024221420288
1,0.745148777961731,0.8427441120147705
2,0.7853385210037231,0.690172016620636
3,0.8155239224433899,0.5978881120681763
4,0.8327727317810059,0.5269989967346191
5,0.8488141298294067,0.4784117043018341
6,0.8700301647186279,0.40969884395599365
7,0.8761535286903381,0.3814062774181366
8,0.889952540397644,0.34784725308418274
9,0.8948684930801392,0.3196047842502594
10,0.8984907269477844,0.30896204710006714
11,0.9131522178649902,0.27334272861480713
12,0.9162570238113403,0.27005764842033386
13,0.926088809967041,0.2327873557806015
14,0.928503692150116,0.22344733774662018
